,b_id,Category1,Category2,Category3,Category4,Category5,Category6,Category7
1,15492,3,1,17,0,0,0,0
2,23699,10,0,0,0,0,0,0
3,16431,2,0,0,0,0,0,0
4,15656,3,1,35,0,0,0,0
5,11382,30,28,0,0,0,0,0
6,16048,6,0,0,0,0,0,0
7,11357,22,8,23,0,0,0,0
8,18657,8,12,13,0,0,0,0
9,12696,3,1,17,0,0,0,0
10,16634,8,0,0,0,0,0,0
11,2428,40,7,0,0,0,0,0
12,20191,9,6,4,0,0,0,0
13,22316,9,0,0,0,0,0,0
14,14366,6,0,0,0,0,0,0
15,25543,7,0,0,0,0,0,0
16,7603,25,0,0,0,0,0,0
17,12086,9,15,0,0,0,0,0
18,15901,28,0,0,0,0,0,0
19,11781,6,0,0,0,0,0,0
20,8202,6,4,0,0,0,0,0
21,3848,10,0,0,0,0,0,0
22,1568,3,5,1,24,17,0,0
23,20356,2,0,0,0,0,0,0
24,17818,24,4,0,0,0,0,0
25,6371,5,7,44,0,0,0,0
26,7059,3,14,1,17,0,0,0
27,7883,12,0,0,0,0,0,0
28,11633,28,0,0,0,0,0,0
29,11465,9,12,0,0,0,0,0
30,9063,15,0,0,0,0,0,0
31,14481,23,0,0,0,0,0,0
32,21590,9,3,41,1,0,0,0
33,1155,3,1,33,0,0,0,0
34,310,16,24,4,0,0,0,0
35,6906,38,0,0,0,0,0,0
36,18045,2,0,0,0,0,0,0
37,4822,5,4,0,0,0,0,0
38,17576,38,13,0,0,0,0,0
39,8825,25,0,0,0,0,0,0
40,790,2,0,0,0,0,0,0
41,21234,3,1,0,0,0,0,0
42,23806,8,31,0,0,0,0,0
43,8962,7,0,0,0,0,0,0
44,22415,3,0,0,0,0,0,0
45,4662,1,19,0,0,0,0,0
46,8455,9,10,0,0,0,0,0
47,6048,9,11,0,0,0,0,0
48,12547,15,0,0,0,0,0,0
49,18641,20,5,0,0,0,0,0
50,23170,9,15,0,0,0,0,0
51,16924,9,4,0,0,0,0,0
52,7488,3,7,1,15,0,0,0
53,911,3,0,0,0,0,0,0
54,16568,29,0,0,0,0,0,0
55,15529,10,30,0,0,0,0,0
56,19432,11,20,5,0,0,0,0
57,6743,31,0,0,0,0,0,0
58,2176,8,0,0,0,0,0,0
59,16578,14,0,0,0,0,0,0
60,25004,9,45,0,0,0,0,0
61,20750,7,0,0,0,0,0,0
62,4013,7,0,0,0,0,0,0
63,5832,22,8,40,0,0,0,0
64,8206,43,5,0,0,0,0,0
65,19523,23,0,0,0,0,0,0
66,7493,9,3,1,4,17,0,0
67,4384,12,13,0,0,0,0,0
68,20270,6,0,0,0,0,0,0
69,7950,7,0,0,0,0,0,0
70,5886,32,10,5,0,0,0,0
71,5863,4,31,0,0,0,0,0
72,26576,12,13,0,0,0,0,0
73,14241,14,0,0,0,0,0,0
74,24578,2,0,0,0,0,0,0
75,15417,11,0,0,0,0,0,0
76,3165,21,0,0,0,0,0,0
77,11545,2,0,0,0,0,0,0
78,19121,3,1,0,0,0,0,0
79,25685,13,0,0,0,0,0,0
80,5864,9,5,0,0,0,0,0
81,1063,42,34,31,0,0,0,0
82,7261,2,0,0,0,0,0,0
83,4057,45,0,0,0,0,0,0
84,10429,10,2,0,0,0,0,0
85,24238,32,10,11,5,0,0,0
86,15265,9,3,41,1,0,0,0
87,16766,25,0,0,0,0,0,0
88,23185,20,5,28,0,0,0,0
89,12444,22,3,41,1,13,0,0
90,15959,29,8,0,0,0,0,0
91,14344,10,43,5,7,0,0,0
92,6083,8,0,0,0,0,0,0
93,15590,23,0,0,0,0,0,0
94,3270,3,25,1,35,0,0,0
95,4348,22,8,40,0,0,0,0
96,8566,21,36,0,0,0,0,0
97,904,29,26,0,0,0,0,0
98,11650,18,0,0,0,0,0,0
99,11661,39,0,0,0,0,0,0
100,5987,3,14,1,17,0,0,0
101,19880,3,1,0,0,0,0,0
102,17554,9,3,6,1,0,0,0
103,4292,3,2,1,33,0,0,0
104,7814,7,0,0,0,0,0,0
105,19384,7,0,0,0,0,0,0
106,1843,3,6,1,17,0,0,0
107,24686,5,24,0,0,0,0,0
108,23797,19,0,0,0,0,0,0
109,22598,24,4,0,0,0,0,0
110,19602,6,0,0,0,0,0,0
111,5074,9,5,0,0,0,0,0
112,16791,8,0,0,0,0,0,0
113,20013,22,3,41,1,13,0,0
114,5499,30,0,0,0,0,0,0
115,22621,9,11,21,0,0,0,0
116,2014,7,0,0,0,0,0,0
117,12971,18,19,0,0,0,0,0
118,2929,3,1,27,0,0,0,0
119,21803,10,0,0,0,0,0,0
120,10337,18,0,0,0,0,0,0
121,15235,6,0,0,0,0,0,0
122,2171,10,0,0,0,0,0,0
123,607,3,41,1,0,0,0,0
124,3642,3,7,1,24,35,0,0
125,7921,10,29,0,0,0,0,0
126,18508,9,5,0,0,0,0,0
127,1848,1,0,0,0,0,0,0
128,15825,6,0,0,0,0,0,0
129,5633,8,12,0,0,0,0,0
130,3527,5,0,0,0,0,0,0
131,5956,7,0,0,0,0,0,0
132,12090,3,1,27,0,0,0,0
133,2800,40,24,0,0,0,0,0
134,25638,2,0,0,0,0,0,0
135,25655,23,0,0,0,0,0,0
136,16837,28,21,34,0,0,0,0
137,16112,8,13,0,0,0,0,0
138,20108,9,3,5,1,0,0,0
139,210,10,30,0,0,0,0,0
140,19540,3,1,0,0,0,0,0
141,3701,3,1,0,0,0,0,0
142,8629,9,20,5,0,0,0,0
143,3771,10,11,0,0,0,0,0
144,21792,2,0,0,0,0,0,0
145,3288,18,5,44,0,0,0,0
146,3059,8,0,0,0,0,0,0
147,5607,3,7,1,0,0,0,0
148,8013,10,0,0,0,0,0,0
149,939,8,0,0,0,0,0,0
150,4351,3,1,15,19,0,0,0
151,6366,10,0,0,0,0,0,0
152,20302,3,1,17,0,0,0,0
153,18531,6,0,0,0,0,0,0
154,24934,16,4,0,0,0,0,0
155,10487,12,0,0,0,0,0,0
156,8232,6,37,4,0,0,0,0
157,11952,22,0,0,0,0,0,0
158,5534,3,25,1,0,0,0,0
159,23189,9,10,4,0,0,0,0
160,333,3,1,17,0,0,0,0
161,5788,7,0,0,0,0,0,0
162,17299,9,15,0,0,0,0,0
163,1667,10,0,0,0,0,0,0
164,21895,3,39,5,1,0,0,0
165,18172,2,0,0,0,0,0,0
166,7358,9,0,0,0,0,0,0
167,6186,4,0,0,0,0,0,0
168,16026,9,3,1,17,0,0,0
169,11426,3,1,17,0,0,0,0
170,7561,12,38,13,0,0,0,0
171,928,7,4,0,0,0,0,0
172,1287,6,2,0,0,0,0,0
173,10469,10,0,0,0,0,0,0
174,6146,18,34,0,0,0,0,0
175,4460,34,0,0,0,0,0,0
176,13311,10,0,0,0,0,0,0
177,9578,3,5,1,27,4,0,0
178,18702,16,4,0,0,0,0,0
179,19635,18,19,0,0,0,0,0
180,7712,3,1,27,0,0,0,0
181,15423,7,4,0,0,0,0,0
182,23526,2,0,0,0,0,0,0
183,5283,10,0,0,0,0,0,0
184,10897,3,1,27,0,0,0,0
185,3414,21,0,0,0,0,0,0
186,1839,9,0,0,0,0,0,0
187,7941,28,21,0,0,0,0,0
188,15975,20,5,0,0,0,0,0
189,3706,3,1,27,0,0,0,0
190,14619,18,0,0,0,0,0,0
191,2166,3,1,17,19,0,0,0
192,13171,3,0,0,0,0,0,0
193,1494,6,0,0,0,0,0,0
194,14446,9,20,5,1,0,0,0
195,15596,9,3,1,15,35,0,0
196,1501,6,0,0,0,0,0,0
197,1968,10,5,4,0,0,0,0
198,25022,9,5,1,0,0,0,0
199,22279,29,23,0,0,0,0,0
200,18694,21,0,0,0,0,0,0
201,65,5,44,34,0,0,0,0
202,23350,29,0,0,0,0,0,0
203,22514,5,24,34,0,0,0,0
204,10836,3,7,1,35,0,0,0
205,24569,28,21,0,0,0,0,0
206,1562,16,24,4,0,0,0,0
207,26322,3,7,1,35,0,0,0
208,1989,29,24,34,0,0,0,0
209,12386,6,0,0,0,0,0,0
210,8697,3,14,1,17,0,0,0
211,10258,31,0,0,0,0,0,0
212,188,15,0,0,0,0,0,0
213,20328,2,0,0,0,0,0,0
214,1204,14,7,0,0,0,0,0
215,25234,45,0,0,0,0,0,0
216,3151,2,33,0,0,0,0,0
217,5437,22,12,0,0,0,0,0
218,849,2,0,0,0,0,0,0
219,21614,3,2,1,0,0,0,0
220,4191,10,0,0,0,0,0,0
221,15195,9,0,0,0,0,0,0
222,11610,29,8,0,0,0,0,0
223,3344,8,38,0,0,0,0,0
224,8892,11,20,5,7,0,0,0
225,3707,8,0,0,0,0,0,0
226,16138,4,0,0,0,0,0,0
227,213,3,7,1,0,0,0,0
228,24624,8,13,0,0,0,0,0
229,17556,3,2,1,0,0,0,0
230,1188,8,0,0,0,0,0,0
231,17075,16,4,0,0,0,0,0
232,2512,2,0,0,0,0,0,0
233,20296,7,0,0,0,0,0,0
234,4510,3,1,0,0,0,0,0
235,20074,3,1,17,0,0,0,0
236,6286,7,0,0,0,0,0,0
237,24524,14,24,4,0,0,0,0
238,1386,9,0,0,0,0,0,0
239,12428,2,0,0,0,0,0,0
240,5808,18,0,0,0,0,0,0
241,7446,7,0,0,0,0,0,0
242,7589,2,0,0,0,0,0,0
243,22595,11,0,0,0,0,0,0
244,24302,3,1,0,0,0,0,0
245,13504,7,0,0,0,0,0,0
246,10348,18,3,1,17,0,0,0
247,23293,12,0,0,0,0,0,0
248,22886,12,38,34,0,0,0,0
249,14311,10,20,5,0,0,0,0
250,1783,1,0,0,0,0,0,0
251,20139,4,0,0,0,0,0,0
252,11947,3,2,1,4,0,0,0
253,7756,23,0,0,0,0,0,0
254,11300,3,1,15,19,0,0,0
255,18920,1,0,0,0,0,0,0
256,7474,29,0,0,0,0,0,0
257,11844,18,4,0,0,0,0,0
258,19923,6,0,0,0,0,0,0
