"","BusinessID","Friday.close","Friday.open","Tuesday.close","Tuesday.open","Thursday.close","Thursday.open","Wednesday.close","Wednesday.open","Monday.close","Monday.open","Saturday.close","Saturday.open","Sunday.close","Sunday.open","open"
"1","mVHrayjG3uZ_RLHkLj-AMg","20:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00",NA,NA,"16:00","10:00",NA,NA,TRUE
"2","KayYbHCt-RkbGcPdGOThNg","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","12:00","22:00","12:00",TRUE
"3","b9WZJp5L1RZr4F1nxclOoQ","14:30","06:00","14:30","06:00","14:30","06:00","14:30","06:00","14:30","06:00","12:30","06:00","12:30","07:00",TRUE
"4","wqu7ILomIOPSduRwoWp4AQ","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00",TRUE
"5","P1fJb2WQ1mXoiudj8UE44w","23:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","23:00","11:00","21:00","11:00",TRUE
"6","PK6aSizckHFWk8i0oxt5DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"7","6ilJq_05xRgek_8qUp36-g","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00","00:00",TRUE
"8","1qCuOcks5HRv67OHovAVpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"9","sbW8qHJgzEIH42B0S-3New","02:00","11:30","00:00","11:30","00:00","11:30","00:00","11:30","00:00","11:30","02:00","11:30","00:00","11:30",TRUE
"10","McikHxxEqZ2X0joaRNKlaw","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","00:00","11:00",TRUE
"11","EoAY1JSVeJriBzId8lUQwQ","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00","02:00","11:00",TRUE
"12","tU-YtoW339PXJmUGSix_AQ","00:00","11:00","00:00","11:00","00:00","11:00","00:00","11:00","23:00","11:00","01:00","11:00","01:00","11:00",TRUE
"13","6p9TlP2I8S4agxYMNFSDjg","00:00","11:00","23:00","11:00","23:00","11:00","23:00","11:00","23:00","11:00","00:00","11:00","23:00","11:00",TRUE
"14","JDDeaNfb0JXD1NbznSIC9g","23:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","23:00","11:00","22:00","11:00",TRUE
"15","FiXamVMgMf9U0VqFHDZSEA","22:00","06:30","21:00","06:30","21:00","06:30","21:00","06:30","21:00","06:30","22:00","07:00","20:00","08:00",TRUE
"16","uLnDFdn011hEroQQMLmxNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"17","eznh0XjVtv924K-KYx_ilQ","01:00","06:00","00:00","06:00","00:00","06:00","00:00","06:00","00:00","06:00","01:00","06:00","00:00","06:00",TRUE
"18","usSROUMiAgPcxV3Ym0OxMQ","23:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","22:00","11:00","23:00","11:00","22:00","11:00",TRUE
"19","r8BwdblCW-ZUES37BL0khw","14:00","06:00","14:00","06:00","14:00","06:00","14:00","06:00","14:00","06:00","14:00","07:00","14:00","07:00",TRUE
"20","mIiHJkpK8nZvW_45LlhrbA","21:00","11:00","21:00","11:00","21:00","11:00","21:00","11:00","21:00","11:00","21:00","11:00","21:00","11:00",TRUE
"21","T49ZvBa6mD4xHSmjHe-ArA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"22","eOv0Dbq2E8sd0CKMAqTImw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"23","Lml0-yTNsMYsP9IrSMxw9A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"24","ucKQlQvOeJxETLNkpKcaSw","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00","21:00","08:00",TRUE
"25","ZL6DNzyenFm9Kpz6uADlNg","22:00","16:00","22:00","16:00","22:00","16:00","22:00","16:00",NA,NA,"22:00","16:00",NA,NA,TRUE
