b_id,BusinessID,Name,City,State,Stars,Latitude,Longitude
1,5UmKMjUEUNdYWqANhGckJw,Mr Hoagie,Dravosburg,PA,3.5,40.3543266,-79.9007057
2,mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,Braddock,PA,4.5,40.4088301,-79.8662107
3,KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,Carnegie,PA,4,40.4154859,-80.0675491
4,wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,Carnegie,PA,3.5,40.3875124,-80.0932152
5,fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,Carnegie,PA,4,40.3964688,-80.0849416
6,b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,Carnegie,PA,4.5,40.3980013,-80.0834577
7,zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,Carnegie,PA,4,40.404638,-80.089985
8,WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,Carnegie,PA,3.5,40.40867,-80.085279
9,6o3RK6rTcN3nw-j-r2nQmA,Porto Fino Pizzaria & Gyro,Carnegie,PA,2.5,40.408832,-80.0849338
10,rv7CY8G_XibTx82YhuqQRw,Long John Silver's,Carnegie,PA,3,40.3868915,-80.0937037
11,SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,Carnegie,PA,2.5,40.4083473,-80.0849615
12,wqu7ILomIOPSduRwoWp4AQ,Denny's,Pittsburgh,PA,3.5,40.39114,-80.073788
13,P1fJb2WQ1mXoiudj8UE44w,Papa J's,Carnegie,PA,3.5,40.4081527,-80.085153
14,8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,Pittsburgh,PA,2.5,40.495167,-79.958717
15,t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,Homestead,PA,2,40.4067047,-79.9105266
16,PK6aSizckHFWk8i0oxt5DA,McDonald's,Homestead,PA,2,40.412012,-79.9098858
17,6ilJq_05xRgek_8qUp36-g,Steak 'n Shake,Munhall,PA,2,40.413496,-79.9044562
18,1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,Homestead,PA,3.5,40.405311,-79.912595
19,sbW8qHJgzEIH42B0S-3New,Dave & Buster's,Homestead,PA,2.5,40.4092932,-79.9141865
20,W7ysp8GLCBrs0GXIVwAcBQ,Wendy's,Homestead,PA,3,40.4097098,-79.9017997
21,#NAME?,Italian Village Pizza,Homestead,PA,2.5,40.3925524,-79.9000102
22,McikHxxEqZ2X0joaRNKlaw,Rock Bottom,Homestead,PA,3.5,40.4094353,-79.9152619
23,EoAY1JSVeJriBzId8lUQwQ,Bar Louie,West Homestead,PA,2.5,40.40707372,-79.91731435
24,TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,Munhall,PA,3,40.3868368,-79.9029475
25,tU-YtoW339PXJmUGSix_AQ,TGI Fridays,Homestead,PA,2.5,40.41087432,-79.91554514
26,6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,Homestead,PA,3,40.410967,-79.9141364
27,JDDeaNfb0JXD1NbznSIC9g,P.F. Chang's,Homestead,PA,3,40.407143,-79.916091
28,FiXamVMgMf9U0VqFHDZSEA,Panera Bread,West Homestead,PA,3,40.407174,-79.916603
29,uLnDFdn011hEroQQMLmxNQ,The Pizza Company,Munhall,PA,4,40.3857182,-79.9032997
30,eznh0XjVtv924K-KYx_ilQ,Eat'n Park,Homestead,PA,3,40.4113236,-79.9132525
31,usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,Homestead,PA,3.5,40.40896285,-79.91807661
32,CL3tZqbYT7B5zgewKCS6-Q,McDonald's,West Mifflin,PA,1.5,40.3849854,-79.8626605
33,u22QDAON1kk0wjoTliyftw,Latina Pizza,West Mifflin,PA,4.5,40.389192,-79.868305
34,53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,West Mifflin,PA,3.5,40.3736775,-79.8737336
35,iBZRphMDFcS2aMbawc1OvA,Hunan Wok Chinese Restaurant,West Mifflin,PA,5,40.3736775,-79.8737336
36,GJAv1nAfnHuab8oRyr8mXg,Eat'n Park Restaurant,McKees Rocks,PA,4,40.4641404,-80.0579296
37,r8BwdblCW-ZUES37BL0khw,Broadway Brunch,McKees Rocks,PA,4.5,40.472505,-80.074153
38,mIiHJkpK8nZvW_45LlhrbA,Pasquarelli's Pizza House,Mc Kees Rocks,PA,4,40.4660004,-80.0653115
39,U--dvTM2j2q-ulb_xKniQg,Hunan Wok,Mc Kees Rocks,PA,2,40.47391072,-80.09727206
40,OZfpG8tDCcIEq8pzgZdyKw,Applebee's,McKees Rocks,PA,3.5,40.46562,-80.0656106
41,8Nm_jcCYtMXYW0ODSHDiXA,Sapporo Japanese Steakhouse,Pittsburgh,PA,4,40.4400036,-80.0909106
42,fJjBMRGnkzc7nVm6VqxoxQ,Frankfurters,Bellvue,PA,4.5,40.4966341,-80.0575037
43,T49ZvBa6mD4xHSmjHe-ArA,R & B's Pizza Place,Bellvue,PA,4,40.4941577,-80.0532928
44,eOv0Dbq2E8sd0CKMAqTImw,Luigi's Pizzeria,Bellevue,PA,4,40.495887,-80.056877
45,_jsJFrAmFVPRio0eEVExbA,McDonald's,Pittsburgh,PA,2.5,40.492067,-80.06235
46,Lml0-yTNsMYsP9IrSMxw9A,China Sea Chinese Restaurant,Bellevue,PA,2.5,40.4972056,-80.0583585
47,JX2gDf2uy2UGuKPpcKT-IA,Wendy's,Pittsburgh,PA,1.5,40.4940896,-80.0635357
48,QVZBd_eu0oJ4IN0md2XPTQ,Vivo,Bellevue,PA,5,40.4964326,-80.057809
49,udZJ8YgsHdqtFDQkyPTV1Q,Arby's,Pittsburgh,PA,3,40.4876741,-80.055667
50,ucKQlQvOeJxETLNkpKcaSw,Rusty Nail,Bellevue,PA,3.5,40.4966408,-80.057381
51,ZL6DNzyenFm9Kpz6uADlNg,Pino's Contemporary Italian Restaurant & Wine Bar,Pittsburgh,PA,3,40.450249,-79.9145
52,OcTG-KzDleuRub-pb6JS3Q,Eddie's Pizza Haus,Pittsburgh,PA,4,40.4852541,-79.9259754
53,Y2p07YEC8xOsYTHWf0UxiA,Tasty Chinese Restaurant,Pittsburgh,PA,3,40.458497,-79.9246661
54,g58NW9q4F09wTMiI7EIjmg,Vento's Pizza,Pittsburgh,PA,3,40.4653904,-79.9229971
55,Pu5uzlZ05pqVlx6LcZbfgw,Minutello's Restaurant & Lounge,Pittsburgh,PA,3,40.4588237,-79.9223818
56,83_p9vIqOq1TUIf3_GD7bA,Tazza D'oro Cafe & Espresso Bar,Pittsburgh,PA,4.5,40.4748883,-79.9188657
57,Ts4xsKPU7FNPPZRj-nRjIg,Buffalo Blues,Pittsburgh,PA,3,40.4583902,-79.9255146
58,UtWJ8NGMg-3z28s0RzlUoQ,China Garden,Pittsburgh,PA,3,40.4579893,-79.9181411
59,bZcqORBnVApUA2-SEn7VEQ,McDonald's,Pittsburgh,PA,2,40.45884557,-79.91844708
60,B9C6j80ob0f1pwi1Cnnd1Q,Pizza Parma,Pittsburgh,PA,3,40.4582251,-79.9251182
61,tvXTHj9V5sgRoeVJW_FiTg,Jimmy Tsang's Chinese Restaurant,Pittsburgh,PA,3,40.4571291,-79.9334864
62,2SwC8wqpZC4B9iFVTgYT9A,Casbah,Pittsburgh,PA,4,40.458138,-79.924797
63,PzG0XmAmtXFs6Fdnubf41g,Quiet Storm Vegetarian & Vegan Cafe,Pittsburgh,PA,4,40.464485,-79.935388
64,lHP5STO7aomlEQixH8m1aA,Pizza Perfectta,Pittsburgh,PA,4,40.4572561,-79.9253542
65,#NAME?,East End Food Co-Op,Pittsburgh,PA,4.5,40.4481991,-79.8954753
66,l_Wey2YC6NvVUIH8vTygGg,Cafe Zinho,Pittsburgh,PA,4,40.4578038,-79.9274383
67,Y3E5QDlKmjHD2zOSPASFIA,Maietta Restaurant,Pittsburgh,PA,4.5,40.415694,-79.98694
68,W7-Ybhe6JWJFXjcbmgvdyA,Great Wall Chinese Food,Pittsburgh,PA,4,40.4146974,-79.9876465
69,qUeBDN0D8SC93KeAHhiL-g,Alla Famiglia,Pittsburgh,PA,4.5,40.4216209,-79.9934384
70,YXuvFMtygHPFEOEXgRtgLQ,No 1 China House,Pittsburgh,PA,2.5,40.4218885,-79.992839
71,Csi12bjcnJ6hDpcbedX6Jg,Pizza Hut,Pittsburgh,PA,1.5,40.3919558,-79.9874081
72,LltDzuzRbAJbSrqD4JH-3A,Hunan Wok Chinese Takeout,Pittsburgh,PA,3,40.3919558,-79.9874081
73,VkqKyq09rDYMhFk5nElWWA,Bishop's Pizza,Pittsburgh,PA,3,40.393115,-79.986911
